"Reaction","Days","Subject","Reaction_observed","contaminated","contamination_sign","signed_displacement","absolute_displacement"
289.555,1,"333",289.555,FALSE,0,0,0
430.320193760351,2,"333",276.7693,TRUE,1,153.550893760351,153.550893760351
299.8097,3,"333",299.8097,FALSE,0,0,0
297.171,4,"333",297.171,FALSE,0,0,0
338.1665,5,"333",338.1665,FALSE,0,0,0
332.0265,6,"333",332.0265,FALSE,0,0,0
348.8399,7,"333",348.8399,FALSE,0,0,0
333.36,8,"333",333.36,FALSE,0,0,0
362.0428,9,"333",362.0428,FALSE,0,0,0
265.4731,0,"334",265.4731,FALSE,0,0,0
276.2012,1,"334",276.2012,FALSE,0,0,0
396.915593760351,2,"334",243.3647,TRUE,1,153.550893760351,153.550893760351
254.6723,3,"334",254.6723,FALSE,0,0,0
279.0244,4,"334",279.0244,FALSE,0,0,0
284.1912,5,"334",284.1912,FALSE,0,0,0
305.5248,6,"334",305.5248,FALSE,0,0,0
331.5229,7,"334",331.5229,FALSE,0,0,0
335.7469,8,"334",335.7469,FALSE,0,0,0
377.299,9,"334",377.299,FALSE,0,0,0
395.159193760352,0,"335",241.6083,TRUE,1,153.550893760351,153.550893760351
273.9472,1,"335",273.9472,FALSE,0,0,0
254.4907,2,"335",254.4907,FALSE,0,0,0
270.8021,3,"335",270.8021,FALSE,0,0,0
251.4519,4,"335",251.4519,FALSE,0,0,0
254.6362,5,"335",254.6362,FALSE,0,0,0
245.4523,6,"335",245.4523,FALSE,0,0,0
235.311,7,"335",235.311,FALSE,0,0,0
235.7541,8,"335",235.7541,FALSE,0,0,0
237.2466,9,"335",237.2466,FALSE,0,0,0
312.3666,0,"337",312.3666,FALSE,0,0,0
313.8058,1,"337",313.8058,FALSE,0,0,0
291.6112,2,"337",291.6112,FALSE,0,0,0
346.1222,3,"337",346.1222,FALSE,0,0,0
365.7324,4,"337",365.7324,FALSE,0,0,0
391.8385,5,"337",391.8385,FALSE,0,0,0
250.709206239649,6,"337",404.2601,TRUE,-1,-153.550893760351,153.550893760351
416.6923,7,"337",416.6923,FALSE,0,0,0
455.8643,8,"337",455.8643,FALSE,0,0,0
458.9167,9,"337",458.9167,FALSE,0,0,0
236.1032,0,"349",236.1032,FALSE,0,0,0
230.3167,1,"349",230.3167,FALSE,0,0,0
238.9256,2,"349",238.9256,FALSE,0,0,0
254.922,3,"349",254.922,FALSE,0,0,0
250.7103,4,"349",250.7103,FALSE,0,0,0
269.7744,5,"349",269.7744,FALSE,0,0,0
281.5648,6,"349",281.5648,FALSE,0,0,0
308.102,7,"349",308.102,FALSE,0,0,0
336.2806,8,"349",336.2806,FALSE,0,0,0
198.094206239649,9,"349",351.6451,TRUE,-1,-153.550893760351,153.550893760351
256.2968,0,"350",256.2968,FALSE,0,0,0
397.005193760352,1,"350",243.4543,TRUE,1,153.550893760351,153.550893760351
256.2046,2,"350",256.2046,FALSE,0,0,0
255.5271,3,"350",255.5271,FALSE,0,0,0
268.9165,4,"350",268.9165,FALSE,0,0,0
329.7247,5,"350",329.7247,FALSE,0,0,0
379.4445,6,"350",379.4445,FALSE,0,0,0
362.9184,7,"350",362.9184,FALSE,0,0,0
394.4872,8,"350",394.4872,FALSE,0,0,0
389.0527,9,"350",389.0527,FALSE,0,0,0
250.5265,0,"351",250.5265,FALSE,0,0,0
300.0576,1,"351",300.0576,FALSE,0,0,0
116.343006239648,2,"351",269.8939,TRUE,-1,-153.550893760351,153.550893760351
280.5891,3,"351",280.5891,FALSE,0,0,0
271.8274,4,"351",271.8274,FALSE,0,0,0
304.6336,5,"351",304.6336,FALSE,0,0,0
287.7466,6,"351",287.7466,FALSE,0,0,0
266.5955,7,"351",266.5955,FALSE,0,0,0
321.5418,8,"351",321.5418,FALSE,0,0,0
347.5655,9,"351",347.5655,FALSE,0,0,0
68.1262062396485,0,"352",221.6771,TRUE,-1,-153.550893760351,153.550893760351
298.1939,1,"352",298.1939,FALSE,0,0,0
326.8785,2,"352",326.8785,FALSE,0,0,0
346.8555,3,"352",346.8555,FALSE,0,0,0
348.7402,4,"352",348.7402,FALSE,0,0,0
352.8287,5,"352",352.8287,FALSE,0,0,0
354.4266,6,"352",354.4266,FALSE,0,0,0
360.4326,7,"352",360.4326,FALSE,0,0,0
375.6406,8,"352",375.6406,FALSE,0,0,0
388.5417,9,"352",388.5417,FALSE,0,0,0
271.9235,0,"369",271.9235,FALSE,0,0,0
268.4369,1,"369",268.4369,FALSE,0,0,0
257.2424,2,"369",257.2424,FALSE,0,0,0
277.6566,3,"369",277.6566,FALSE,0,0,0
314.8222,4,"369",314.8222,FALSE,0,0,0
317.2135,5,"369",317.2135,FALSE,0,0,0
298.1353,6,"369",298.1353,FALSE,0,0,0
348.1229,7,"369",348.1229,FALSE,0,0,0
340.28,8,"369",340.28,FALSE,0,0,0
212.962206239649,9,"369",366.5131,TRUE,-1,-153.550893760351,153.550893760351
225.264,0,"370",225.264,FALSE,0,0,0
234.5235,1,"370",234.5235,FALSE,0,0,0
85.3499062396485,2,"370",238.9008,TRUE,-1,-153.550893760351,153.550893760351
240.473,3,"370",240.473,FALSE,0,0,0
267.5373,4,"370",267.5373,FALSE,0,0,0
344.1937,5,"370",344.1937,FALSE,0,0,0
281.1481,6,"370",281.1481,FALSE,0,0,0
347.5855,7,"370",347.5855,FALSE,0,0,0
365.163,8,"370",365.163,FALSE,0,0,0
372.2288,9,"370",372.2288,FALSE,0,0,0
269.8804,0,"371",269.8804,FALSE,0,0,0
272.4428,1,"371",272.4428,FALSE,0,0,0
277.8989,2,"371",277.8989,FALSE,0,0,0
281.7895,3,"371",281.7895,FALSE,0,0,0
279.1705,4,"371",279.1705,FALSE,0,0,0
284.512,5,"371",284.512,FALSE,0,0,0
259.2658,6,"371",259.2658,FALSE,0,0,0
151.079706239649,7,"371",304.6306,TRUE,-1,-153.550893760351,153.550893760351
350.7807,8,"371",350.7807,FALSE,0,0,0
369.4692,9,"371",369.4692,FALSE,0,0,0
269.4117,0,"372",269.4117,FALSE,0,0,0
119.923106239648,1,"372",273.474,TRUE,-1,-153.550893760351,153.550893760351
297.5968,2,"372",297.5968,FALSE,0,0,0
310.6316,3,"372",310.6316,FALSE,0,0,0
287.1726,4,"372",287.1726,FALSE,0,0,0
329.6076,5,"372",329.6076,FALSE,0,0,0
334.4818,6,"372",334.4818,FALSE,0,0,0
343.2199,7,"372",343.2199,FALSE,0,0,0
369.1417,8,"372",369.1417,FALSE,0,0,0
364.1236,9,"372",364.1236,FALSE,0,0,0
